DivisionNm,CountNum,PPId,ALP,GRN,IND,LNP,ONP,OTH,TEAL
Adelaide,4,7049,0.09720000000000001,0.4861,,0.4167,-1.0,0.0,
Adelaide,4,7053,0.23402340234023403,0.28722872287228723,,0.47874787478747877,-1.0,0.0,
Adelaide,4,7067,0.14,0.32,,0.54,-1.0,0.0,
Adelaide,4,7075,0.23942394239423945,0.32393239323932393,,0.43664366436643665,-1.0,0.0,
Adelaide,4,7077,0.1714,0.4143,,0.4143,-1.0,0.0,
Adelaide,4,7078,0.1753,0.4536,,0.3711,-1.0,0.0,
Adelaide,4,7079,0.18420000000000003,0.2632,,0.5526,-1.0,0.0,
Adelaide,4,7080,0.1368,0.2632,,0.6,-1.0,0.0,
Adelaide,4,7254,0.2857,0.3393,,0.375,-1.0,0.0,
Adelaide,4,7255,0.2466,0.2329,,0.5205,-1.0,0.0,
Adelaide,4,7280,0.3284,0.4328,,0.23879999999999998,-1.0,0.0,
Adelaide,4,12085,0.11539999999999999,0.359,,0.5256000000000001,-1.0,0.0,
Adelaide,4,12086,0.2666733326667333,0.4166583341665833,,0.31666833316668336,-1.0,0.0,
Adelaide,4,31070,0.175,0.15,,0.675,-1.0,0.0,
Adelaide,4,32952,0.23600000000000002,0.2809,,0.48310000000000003,-1.0,0.0,
Adelaide,4,33098,0.2857,0.25,,0.4643,-1.0,0.0,
Adelaide,4,36447,0.2,0.4133,,0.38670000000000004,-1.0,0.0,
Adelaide,4,38208,0.23879999999999998,0.40299999999999997,,0.3582,-1.0,0.0,
Adelaide,4,64715,0.2075207520752075,0.3396339633963396,,0.4528452845284528,-1.0,0.0,
Adelaide,4,65592,0.0,1.0,,0.0,-1.0,0.0,
Adelaide,4,65713,0.0,0.5,,0.5,-1.0,0.0,
Adelaide,4,82875,0.2,0.6667000000000001,,0.1333,-1.0,0.0,
Adelaide,4,82879,0.2286,0.1714,,0.6,-1.0,0.0,
Adelaide,4,82880,0.19441944194419442,0.19441944194419442,,0.6111611161116111,-1.0,0.0,
Adelaide,4,83454,0.2353,0.2059,,0.5588000000000001,-1.0,0.0,
Adelaide,4,83475,0.1607,0.26789999999999997,,0.5714,-1.0,0.0,
Adelaide,4,83760,0.0704,0.3944,,0.5352,-1.0,0.0,
Adelaide,4,96647,0.1818181818181818,0.45454545454545453,,0.3636363636363636,-1.0,0.0,
Adelaide,4,96649,0.1034103410341034,0.31033103310331034,,0.5862586258625861,-1.0,0.0,
Adelaide,4,96715,0.1981,0.42450000000000004,,0.3774,-1.0,0.0,
Adelaide,4,97817,0.1845,0.42719999999999997,,0.3883,-1.0,0.0,
Adelaide,4,97818,0.22920000000000001,0.3125,,0.4583,-1.0,0.0,
Adelaide,4,97820,0.2162,0.3784,,0.4054,-1.0,0.0,
Adelaide,4,97823,0.15710000000000002,0.3286,,0.5143,-1.0,0.0,
Adelaide,4,97861,0.21719999999999998,0.2809,,0.5019,-1.0,0.0,
Adelaide,4,108580,0.1071107110711071,0.2857285728572857,,0.6071607160716072,-1.0,0.0,
Adelaide,5,0,0.8453499999999999,-1.0,,0.15465,0.0,0.0,
Adelaide,5,6648,0.894,-1.0,,0.106,0.0,0.0,
Adelaide,5,6649,0.9131999999999999,-1.0,,0.0868,0.0,0.0,
Adelaide,5,6651,0.9233,-1.0,,0.0767,0.0,0.0,
Adelaide,5,6654,0.8178,-1.0,,0.1822,0.0,0.0,
Adelaide,5,6655,0.8843000000000001,-1.0,,0.1157,0.0,0.0,
Adelaide,5,6657,0.8332999999999999,-1.0,,0.16670000000000001,0.0,0.0,
Adelaide,5,6659,0.8301999999999999,-1.0,,0.1698,0.0,0.0,
Adelaide,5,6660,0.7851,-1.0,,0.21489999999999998,0.0,0.0,
Adelaide,5,6663,0.8103,-1.0,,0.18969999999999998,0.0,0.0,
Adelaide,5,6668,0.8768,-1.0,,0.1232,0.0,0.0,
Adelaide,5,6674,0.8589,-1.0,,0.1411,0.0,0.0,
Adelaide,5,6675,0.8584999999999999,-1.0,,0.14150000000000001,0.0,0.0,
Adelaide,5,6676,0.8031,-1.0,,0.19690000000000002,0.0,0.0,
Adelaide,5,6679,0.8883,-1.0,,0.1117,0.0,0.0,
Adelaide,5,6681,0.8745999999999999,-1.0,,0.12539999999999998,0.0,0.0,
Adelaide,5,6682,0.8986,-1.0,,0.1014,0.0,0.0,
Adelaide,5,6685,0.9155,-1.0,,0.08449999999999999,0.0,0.0,
Adelaide,5,6686,0.8515999999999999,-1.0,,0.1484,0.0,0.0,
Adelaide,5,6868,0.8513,-1.0,,0.1487,0.0,0.0,
Adelaide,5,6871,0.9372,-1.0,,0.06280000000000001,0.0,0.0,
Adelaide,5,6878,0.8608,-1.0,,0.1392,0.0,0.0,
Adelaide,5,6886,0.9072,-1.0,,0.0928,0.0,0.0,
Adelaide,5,6889,0.8451000000000001,-1.0,,0.1549,0.0,0.0,
Adelaide,5,7008,0.8634000000000001,-1.0,,0.1366,0.0,0.0,
Adelaide,5,7048,0.8443,-1.0,,0.1557,0.0,0.0,
Adelaide,5,7049,0.909,-1.0,,0.091,0.0,0.0,
Adelaide,5,7053,0.9,-1.0,,0.1,0.0,0.0,
Adelaide,5,7067,0.8697,-1.0,,0.1303,0.0,0.0,
Adelaide,5,7075,0.8976999999999999,-1.0,,0.1023,0.0,0.0,
Adelaide,5,7077,0.8881999999999999,-1.0,,0.1118,0.0,0.0,
Adelaide,5,7078,0.8531,-1.0,,0.1469,0.0,0.0,
Adelaide,5,7079,0.9192,-1.0,,0.0808,0.0,0.0,
Adelaide,5,7080,0.9234,-1.0,,0.0766,0.0,0.0,
Adelaide,5,7254,0.848,-1.0,,0.152,0.0,0.0,
Adelaide,5,7255,0.8726999999999999,-1.0,,0.1273,0.0,0.0,
Adelaide,5,7280,0.8031999999999999,-1.0,,0.1968,0.0,0.0,
Adelaide,5,12085,0.892,-1.0,,0.10800000000000001,0.0,0.0,
Adelaide,5,12086,0.7798999999999999,-1.0,,0.22010000000000002,0.0,0.0,
Adelaide,5,31070,0.8687,-1.0,,0.1313,0.0,0.0,
Adelaide,5,32952,0.9133,-1.0,,0.0867,0.0,0.0,
Adelaide,5,33098,0.8423999999999999,-1.0,,0.1576,0.0,0.0,
Adelaide,5,36447,0.8689,-1.0,,0.1311,0.0,0.0,
Adelaide,5,38208,0.8406999999999999,-1.0,,0.1593,0.0,0.0,
Adelaide,5,64715,0.8651000000000001,-1.0,,0.1349,0.0,0.0,
Adelaide,5,65592,1.0,-1.0,,0.0,0.0,0.0,
Adelaide,5,65713,0.9444,-1.0,,0.0556,0.0,0.0,
Adelaide,5,82875,0.9152,-1.0,,0.0848,0.0,0.0,
Adelaide,5,82879,0.9181999999999999,-1.0,,0.0818,0.0,0.0,
Adelaide,5,82880,0.7818,-1.0,,0.2182,0.0,0.0,
Adelaide,5,83454,0.9079,-1.0,,0.09210000000000002,0.0,0.0,
Adelaide,5,83475,0.8892,-1.0,,0.1108,0.0,0.0,
Adelaide,5,83760,0.8804000000000001,-1.0,,0.11960000000000001,0.0,0.0,
Adelaide,5,96647,0.907,-1.0,,0.09300000000000001,0.0,0.0,
Adelaide,5,96649,0.7920999999999999,-1.0,,0.2079,0.0,0.0,
Adelaide,5,96715,0.8081999999999999,-1.0,,0.1918,0.0,0.0,
Adelaide,5,97817,0.8392000000000001,-1.0,,0.16079999999999997,0.0,0.0,
Adelaide,5,97818,0.8549,-1.0,,0.1451,0.0,0.0,
Adelaide,5,97820,0.8462000000000001,-1.0,,0.15380000000000002,0.0,0.0,
Adelaide,5,97823,0.8742,-1.0,,0.1258,0.0,0.0,
Adelaide,5,97861,0.8418000000000001,-1.0,,0.1582,0.0,0.0,
Adelaide,5,108580,0.8945000000000001,-1.0,,0.10550000000000001,0.0,0.0,
Aston,1,0,0.15150503267662072,0.47359633640223253,,0.1810809521537948,0.193817678767352,-1.0,
Aston,1,2942,0.2000559988800224,0.6999860002799945,,0.0,0.0999580008399832,-1.0,
Aston,1,2945,0.16666666666666666,0.5,,0.16666666666666666,0.16666666666666666,-1.0,
Aston,1,2948,0.28566121842496284,0.4286775631500742,,0.28566121842496284,0.0,-1.0,
Aston,1,2950,0.0,0.6000439995600044,,0.09998900010999891,0.2999670003299967,-1.0,
Aston,1,2951,0.0,0.7143836790673753,,0.14280816046631237,0.14280816046631237,-1.0,
Aston,1,2952,0.0,0.16670555296313577,,0.5,0.3332944470368642,-1.0,
Aston,1,2956,0.26666666666666666,0.5333333333333333,,0.13333333333333333,0.06666666666666667,-1.0,
